timestamp,price,ob_imbalance,ob_bid_depth,ob_ask_depth,ob_large_bids,ob_large_asks,ob_best_bid,ob_best_ask,funding_rate,funding_pct,funding_is_extreme,oi,oi_millions,liq_long_near,liq_long_far,liq_short_near,liq_short_far,liq_nearest_dist_pct,liq_in_danger_zone
2026-01-19 16:12:34.405223,92974.5,-0.9902476057650315,0.21760999999999997,44.40938,0,1,92974.0,92975.0,1.11544e-05,0.0011154399999999999,0,30440.95804,0.03044095804,91115.01,89255.51999999999,94833.99,96693.48000000001,2.0000000000000058,0
2026-01-19 16:17:35.451220,93007.5,-0.3121622025345333,10.130310000000001,19.32521,0,0,93007.0,93008.0,1.17459e-05,0.00117459,0,30481.97964,0.03048197964,91147.34999999999,89287.2,94867.65000000001,96727.8,2.0000000000000093,0
2026-01-19 16:22:37.671162,93017.5,0.8092525548436211,32.25075,3.4001599999999996,1,0,93017.0,93018.0,1.20845e-05,0.00120845,0,30473.9635,0.030473963500000003,91157.15,89296.8,94877.85,96738.2,2.000000000000006,0
2026-01-19 16:27:38.819993,93019.5,0.9834504495852429,42.854479999999995,0.35757,2,0,93019.0,93020.0,1.16218e-05,0.0011621799999999999,0,30473.68892,0.030473688920000002,91159.11,89298.72,94879.89,96740.28,1.9999999999999993,0
2026-01-19 16:32:40.392445,92978.5,-0.9610553579137893,0.6210800000000001,31.274450000000005,0,1,92978.0,92979.0,1.2451e-05,0.0012451,0,30442.63084,0.030442630840000002,91118.93,89259.36,94838.07,96697.64,2.0000000000000075,0
2026-01-19 16:37:41.595928,92980.5,-0.9988229167107718,0.01946,33.04532,0,1,92980.0,92981.0,8.7532e-06,0.00087532,0,30419.67498,0.03041967498,91120.89,89261.28,94840.11,96699.72,2.000000000000001,0
2026-01-19 16:42:42.789151,92949.5,-0.16584779066213065,9.482829999999998,13.253619999999998,0,0,92949.0,92950.0,9.4176e-06,0.0009417599999999999,0,30420.3003,0.030420300299999998,91090.51,89231.51999999999,94808.49,96667.48000000001,2.0000000000000058,0
2026-01-19 16:47:43.856815,93013.5,0.9996046452238636,41.06890999999999,0.008119999999999999,1,0,93013.0,93014.0,7.8623e-06,0.00078623,0,30419.5711,0.0304195711,91153.23,89292.95999999999,94873.77,96734.04000000001,2.0000000000000044,0
2026-01-19 16:52:44.919773,93074.5,-0.674120180501328,5.49785,28.24373,0,1,93073.0,93075.0,8.4167e-06,0.00084167,0,30432.08228,0.030432082279999998,91213.01,89351.51999999999,94935.99,96797.48000000001,2.0000000000000058,0
2026-01-19 16:57:46.207740,93111.5,0.4503829614721937,20.03472,7.59208,1,0,93111.0,93112.0,8.537e-06,0.0008537,0,30438.61314,0.03043861314,91249.27,89387.04,94973.73,96835.96,1.9999999999999956,0
2026-01-19 17:02:47.226719,93106.5,0.8899774234081461,34.22648,1.9924499999999998,1,0,93106.0,93107.0,9.4949e-06,0.00094949,0,30447.69576,0.030447695759999997,91244.37,89382.23999999999,94968.63,96830.76000000001,2.000000000000005,0
2026-01-19 17:07:48.701622,93135.5,0.4517662910374991,14.448899999999998,5.45637,0,0,93135.0,93136.0,9.9341e-06,0.0009934100000000001,0,30450.0236,0.0304500236,91272.79,89410.08,94998.21,96860.92,2.000000000000007,0
2026-01-19 17:12:50.098440,93199.5,-0.8307773904750734,3.3182099999999997,35.89889000000001,0,1,93199.0,93200.0,1.04007e-05,0.00104007,0,30321.62754,0.03032162754,91335.51,89471.51999999999,95063.49,96927.48000000001,2.0000000000000058,0
2026-01-19 17:17:51.129114,93226.5,-0.9083488039169575,1.67384,34.852470000000004,0,1,93226.0,93227.0,1.15183e-05,0.00115183,0,30357.09322,0.03035709322,91361.97,89497.44,95091.03,96955.56,1.9999999999999987,0
